CustomerID,AveMonthSpend
11000,87
11001,127
11002,123
11003,50
11004,99
11005,78
11006,49
11007,119
11008,84
11009,77
11010,52
11011,141
11012,49
11013,88
11014,56
11015,46
11016,67
11017,32
11018,66
11019,69
11020,62
11021,43
11022,70
11023,68
11024,81
11025,72
11026,67
11027,68
11028,43
11029,66
11030,49
11031,44
11032,44
11033,62
11034,45
11035,49
11036,49
11037,44
11038,46
11039,74
11040,69
11041,50
11042,53
11043,83
11044,71
11045,64
11046,51
11047,43
11048,70
11049,45
11050,68
11051,63
11052,50
11053,46
11054,45
11055,73
11056,50
11057,80
11058,83
11059,53
11060,81
11061,88
11062,66
11063,42
11064,70
11065,46
11066,58
11067,67
11068,53
11069,50
11070,85
11071,45
11072,52
11073,49
11074,73
11075,51
11076,81
11077,52
11078,43
11079,81
11080,89
11081,77
11082,64
11083,68
11084,79
11085,46
11086,94
11087,71
11088,106
11089,59
11090,78
11091,89
11092,81
11093,59
11094,74
11095,65
11096,82
11097,81
11098,42
11099,82
11100,45
11101,45
11102,100
11103,51
11104,84
11105,52
11106,78
11107,52
11108,51
11109,76
11110,84
11111,55
11112,50
11113,143
11114,74
11115,140
11116,137
11117,86
11118,77
11119,51
11120,40
11121,142
11122,138
11123,133
11124,80
11125,45
11126,73
11127,45
11128,49
11129,47
11130,47
11131,47
11132,45
11133,44
11134,57
11135,62
11136,37
11137,51
11138,45
11139,41
11140,64
11141,46
11142,61
11143,77
11144,57
11145,48
11146,39
11147,71
11148,73
11149,72
11150,62
11151,46
11152,60
11153,52
11154,44
11155,80
11156,41
11157,50
11158,67
11159,41
11160,67
11161,40
11162,63
11163,73
11164,65
11165,48
11166,51
11167,54
11168,80
11169,156
11170,91
11171,82
11172,59
11173,55
11174,117
11175,80
11176,151
11177,144
11178,130
11179,89
11180,81
11181,131
11182,43
11183,44
11184,44
11185,44
11186,46
11187,48
11188,50
11189,74
11190,78
11191,50
11192,83
11193,77
11194,46
11195,50
11196,85
11197,62
11198,58
11199,63
11200,96
11201,61
11202,59
11203,82
11204,57
11205,52
11206,87
11207,53
